group;year;week;value
45to64;2023;20;3803
45to64;2023;21;3723
45to64;2023;22;3721
45to64;2023;23;3722
45to64;2023;24;3767
45to64;2023;25;3768
45to64;2023;26;3617
45to64;2023;27;3702
45to64;2023;28;3735
45to64;2023;29;3763
45to64;2023;30;3857
45to64;2023;31;3807
45to64;2023;32;3858
45to64;2023;33;3702
45to64;2023;34;3776
45to64;2023;35;3744
45to64;2023;36;3760
45to64;2023;37;3588
45to64;2023;38;3376
45to64;2023;39;3398
45to64;2023;40;3480
45to64;2023;41;3384
45to64;2023;42;3475
45to64;2023;43;3650
45to64;2023;44;3613
45to64;2023;45;3683
45to64;2023;46;3657
45to64;2023;47;3741
45to64;2023;48;3727
45to64;2023;49;3495
45to64;2017;0;0
45to64;2017;51;541
45to64;2017;52;1542
45to64;2018;0;0
45to64;2018;1;1031
45to64;2018;2;1643
45to64;2018;3;2278
45to64;2018;4;2752
45to64;2018;5;3281
45to64;2018;6;3812
45to64;2018;7;4502
45to64;2018;8;5226
45to64;2018;9;6099
45to64;2018;10;6765
45to64;2018;11;7295
45to64;2018;12;7700
45to64;2018;13;7903
45to64;2018;14;8266
45to64;2018;15;8643
45to64;2018;16;8694
45to64;2018;17;8679
45to64;2018;18;8642
45to64;2018;19;8503
45to64;2018;20;8572
45to64;2018;21;8560
45to64;2018;22;8511
45to64;2018;23;8500
45to64;2018;24;8490
45to64;2018;25;8482
45to64;2018;26;8545
45to64;2018;27;8587
45to64;2018;28;8570
45to64;2018;29;8673
45to64;2018;30;8835
45to64;2018;31;9018
45to64;2018;32;9144
45to64;2018;33;9055
45to64;2018;34;8894
45to64;2018;35;8840
45to64;2018;36;8852
45to64;2018;37;8732
45to64;2018;38;8621
45to64;2018;39;8708
45to64;2018;40;8771
45to64;2018;41;8698
45to64;2018;42;8539
45to64;2018;43;8501
45to64;2018;44;8530
45to64;2018;45;8545
45to64;2018;46;8611
45to64;2018;47;8608
45to64;2018;48;8665
45to64;2018;49;8843
45to64;2018;50;9018
45to64;2018;51;9462
45to64;2018;52;9769
45to64;2019;0;0
45to64;2019;1;648
45to64;2019;2;1216
45to64;2019;3;1725
45to64;2019;4;2418
45to64;2019;5;3221
45to64;2019;6;3814
45to64;2019;7;4461
45to64;2019;8;4792
45to64;2019;9;5183
45to64;2019;10;5433
45to64;2019;11;5405
45to64;2019;12;5364
45to64;2019;13;5273
45to64;2019;14;5204
45to64;2019;15;5105
45to64;2019;16;5138
45to64;2019;17;5166
45to64;2019;18;5022
45to64;2019;19;4957
45to64;2019;20;4912
45to64;2019;21;4785
45to64;2019;22;4759
45to64;2019;23;4719
45to64;2019;24;4721
45to64;2019;25;4817
45to64;2019;26;4832
45to64;2019;27;5116
45to64;2019;28;4969
45to64;2019;29;5078
45to64;2019;30;5121
45to64;2019;31;5010
45to64;2019;32;4904
45to64;2019;33;4605
45to64;2019;34;4367
45to64;2019;35;4333
45to64;2019;36;4213
45to64;2019;37;4028
45to64;2019;38;4014
45to64;2019;39;4021
45to64;2019;40;4013
45to64;2019;41;4033
45to64;2019;42;3896
45to64;2019;43;3776
45to64;2019;44;3693
45to64;2019;45;3819
45to64;2019;46;3768
45to64;2019;47;3770
45to64;2019;48;3826
45to64;2019;49;4040
45to64;2019;50;4283
45to64;2019;51;4711
45to64;2019;52;4931
45to64;2020;0;0
45to64;2020;1;368
45to64;2020;2;784
45to64;2020;3;1159
45to64;2020;4;1371
